algoritmo,n,tipo,dominio,muestra,tiempo_ms
patience,1000,descendente,D1,a,0.023151
sort,1000,descendente,D1,b,0.013041
merge,1000,descendente,D1,b,0.12357
quick,1000,descendente,D1,b,0.030888
patience,1000,descendente,D1,b,0.024111
sort,1000,descendente,D1,c,0.015072
merge,1000,descendente,D1,c,0.12192
quick,1000,descendente,D1,c,0.033288
patience,1000,descendente,D1,c,0.023064
sort,1000,descendente,D7,a,0.010226
merge,1000,descendente,D7,a,0.116081
quick,1000,descendente,D7,a,0.022679
patience,1000,descendente,D7,a,0.023332
sort,1000,descendente,D7,b,0.009376
merge,1000,descendente,D7,b,0.123449
quick,1000,descendente,D7,b,0.020511
patience,1000,descendente,D7,b,0.024877
sort,1000,descendente,D7,c,0.009846
merge,1000,descendente,D7,c,0.133002
quick,1000,descendente,D7,c,0.021825
patience,1000,descendente,D7,c,0.034814
sort,10,aleatorio,D1,a,0.001129
merge,10,aleatorio,D1,a,0.003153
quick,10,aleatorio,D1,a,0.000916
patience,10,aleatorio,D1,a,0.00996
sort,10,aleatorio,D1,b,0.000845
merge,10,aleatorio,D1,b,0.002733
quick,10,aleatorio,D1,b,0.00091
patience,10,aleatorio,D1,b,0.003359
sort,10,aleatorio,D1,c,0.000904
merge,10,aleatorio,D1,c,0.002585
quick,10,aleatorio,D1,c,0.000947
patience,10,aleatorio,D1,c,0.004467
sort,10,aleatorio,D7,a,0.000691
merge,10,aleatorio,D7,a,0.003341
quick,10,aleatorio,D7,a,0.001434
patience,10,aleatorio,D7,a,0.005324
sort,10,aleatorio,D7,b,0.000475
merge,10,aleatorio,D7,b,0.002853
quick,10,aleatorio,D7,b,0.000926
patience,10,aleatorio,D7,b,0.004871
sort,10,aleatorio,D7,c,0.00073
merge,10,aleatorio,D7,c,0.002601
quick,10,aleatorio,D7,c,0.000912
patience,10,aleatorio,D7,c,0.003618
sort,10,ascendente,D1,a,0.000774
merge,10,ascendente,D1,a,0.002797
quick,10,ascendente,D1,a,0.000877
patience,10,ascendente,D1,a,0.00604
sort,10,ascendente,D1,b,0.000522
merge,10,ascendente,D1,b,0.002997
quick,10,ascendente,D1,b,0.000928
patience,10,ascendente,D1,b,0.006335
sort,10,ascendente,D1,c,0.00084
merge,10,ascendente,D1,c,0.002963
quick,10,ascendente,D1,c,0.000962
patience,10,ascendente,D1,c,0.005557
sort,10,ascendente,D7,a,0.000671
merge,10,ascendente,D7,a,0.002789
quick,10,ascendente,D7,a,0.00108
patience,10,ascendente,D7,a,0.007114
sort,10,ascendente,D7,b,0.001189
merge,10,ascendente,D7,b,0.002693
quick,10,ascendente,D7,b,0.00098
patience,10,ascendente,D7,b,0.007118
sort,10,ascendente,D7,c,0.000724
merge,10,ascendente,D7,c,0.002559
quick,10,ascendente,D7,c,0.00082
patience,10,ascendente,D7,c,0.005661
sort,10,descendente,D1,a,0.000985
merge,10,descendente,D1,a,0.003028
quick,10,descendente,D1,a,0.000837
patience,10,descendente,D1,a,0.002563
sort,10,descendente,D1,b,0.000989
merge,10,descendente,D1,b,0.002796
quick,10,descendente,D1,b,0.000864
patience,10,descendente,D1,b,0.002591
sort,10,descendente,D1,c,0.000841
merge,10,descendente,D1,c,0.002391
quick,10,descendente,D1,c,0.000786
patience,10,descendente,D1,c,0.00258
sort,10,descendente,D7,a,0.000631
merge,10,descendente,D7,a,0.002196
quick,10,descendente,D7,a,0.000846
patience,10,descendente,D7,a,0.002361
sort,10,descendente,D7,b,0.000707
merge,10,descendente,D7,b,0.002043
quick,10,descendente,D7,b,0.000818
patience,10,descendente,D7,b,0.002241
sort,10,descendente,D7,c,0.000863
merge,10,descendente,D7,c,0.002253
quick,10,descendente,D7,c,0.000842
patience,10,descendente,D7,c,0.002502
